gene ID	gene name	p-value	K	Ks
136227	EMID2	0.0018897951064253	1	1
138474	TAF1L	0.0018897951064253	1	1
374650	GOLGA6L5	0.0018897951064253	1	1
5301	PIN1P1	0.0018897951064253	1	1
1452	CSNK1A1	0.0031757143610376	37	2
1020	CDK5	0.000589097643918962	70	3
388	RHOB	0.00248657250845434	1	1
1454	CSNK1E	0.003630876851694	35	2
4040	LRP6	4.15348398581027e-05	4	2
4775	NFATC3	7.4411312059756e-05	5	2
6571	SLC18A2	7.4411312059756e-05	5	2
1453	CSNK1D	3.72145927411682e-07	21	4
5664	PSEN2	1.44669771796985e-05	16	3
10971	YWHAQ	3.21858711748244e-05	20	3
23621	BACE1	6.24299709504987e-05	4	2
637	BID	8.71195574933782e-05	26	3
25865	PRKD2	0.000132731834111282	29	3
999	CDH1	0.000176907503408457	31	3
1499	CTNNB1	4.30437255483491e-05	54	4
1457	CSNK2A1	1.95002668089583e-05	228	7
1459	CSNK2A2	6.9563203418693e-06	123	6
5504	PPP1R2	1.15730917301357e-06	6	3
4205	MEF2A	3.47571981389985e-06	8	3
6934	TCF7L2	5.59620124830897e-06	9	3
10749	C1R	1.78682978226143e-05	2	2
715	F5	1.78682978226143e-05	2	2
2153	IFI16	1.78682978226143e-05	2	2
3428	PPM1A	1.78682978226143e-05	2	2
5494	KIF1C	1.78682978226143e-05	2	2
7157	TP53	3.96398421873716e-05	199	7
613	BCR	6.53419229183998e-07	15	4
324	APC	3.70649570982431e-06	22	4
2932	GSK3B	2.7425656916765e-06	178	8
8312	AXIN1	1.84544235583891e-06	18	4
3486	IGFBP3	4.77022176253132e-06	7	3
5525	PPP2R5A	1.71152006505275e-05	10	3
1616	DAXX	3.29079092466909e-05	34	4
5371	PML	2.61687284313141e-05	11	3
28996	HIPK2	9.06574674453306e-06	24	4
4193	MDM2	2.7934273338322e-05	31	4
4613	MYCN	6.60790391341428e-06	7	3
207	AKT1	2.18829362783116e-05	144	7
4194	MDM4	8.41789222626442e-07	13	4
2099	ESR1	2.28892850199096e-06	99	7
2308	FOXO1	3.18763152566826e-07	24	5
5770	PTPN1	9.51887507935165e-07	53	6
208	AKT2	2.66865839184411e-07	69	7
367	AR	1.48607430226537e-07	38	6
8031	NCOA4	2.82907884711243e-07	3	3
581	BAX	6.09449170145131e-07	11	4
5757	PTMA	1.23157714363915e-06	4	3
2033	EP300	1.81818557003409e-06	54	6
10000	AKT3	1.65008840470598e-07	59	7
5728	PTEN	1.79371170709671e-07	36	6
1027	CDKN1B	4.3729480844048e-07	41	6
3667	IRS1	7.31997742752413e-07	44	6
1147	CHUK	1.32770257359445e-07	33	6
2309	FOXO3	5.04053315948345e-08	28	6
23411	SIRT1	6.44971143633039e-07	10	4
6198	RPS6KB1	7.44682323549093e-07	23	5
983	CDK1	2.82423224066487e-07	237	12
7465	WEE1	2.1311665627239e-08	12	5
1111	CHEK1	3.55218271873085e-08	25	6
7534	YWHAZ	7.66561010692231e-08	46	7
4303	FOXO4	6.41123370031691e-08	14	5
994	CDC25B	6.41123370031691e-08	14	5
7317	UBA1	1.07764134498252e-07	15	5
572	BAD	1.65380054502108e-07	30	6
4217	MAP3K5	2.46345305493844e-07	17	5
993	CDC25A	3.58796508157467e-07	18	5
9261	MAPKAPK2	3.38702954457108e-08	38	7
5599	MAPK8	8.69413756822339e-08	89	9
995	CDC25C	4.09626448992565e-08	12	5
677	ZFP36L1	9.71295709947502e-08	6	4
6416	MAP2K4	1.69608085468041e-07	15	5
5601	MAPK9	1.33825660239393e-08	93	10
409	ARRB2	1.71437029369423e-09	14	6
4609	MYC	3.13544892906393e-08	35	7
598	BCL2L1	7.47191348236701e-08	39	7
1026	CDKN1A	1.02519868135475e-07	140	11
1432	MAPK14	5.73677065024797e-08	131	11
894	CCND2	1.0746710526334e-08	9	5
5604	MAP2K1	1.40977483702483e-08	30	7
1019	CDK4	3.5403124085199e-09	75	10
595	CCND1	2.89181269689933e-09	24	7
1017	CDK2	1.11448535871335e-09	296	18
1021	CDK6	2.20674178043882e-09	51	9
3925	STMN1	5.64419998626455e-10	30	8
5594	MAPK1	3.02018895258049e-10	171	15
4602	MYB	3.9162227722711e-10	18	7
5602	MAPK10	5.59993751180015e-11	63	11
10018	BCL2L11	4.98710854831153e-11	14	7
4170	MCL1	5.25641016577501e-12	11	7
596	BCL2	1.64376474484233e-11	41	10
5595	MAPK3	1.57984670354831e-12	158	17
3297	HSF1	2.55171768611725e-12	24	9
6300	MAPK12	1.80814952542395e-13	49	12
4208	MEF2C	1.28264083729057e-13	26	10
891	CCNB1	2.17917986256553e-13	37	11
5597	MAPK6	4.10971045569242e-14	188	20
5598	MAPK7	1.1259811704523e-14	50	13
6256	RXRA	9.79999200239255e-16	42	13
5596	MAPK4	1.0949924514704e-15	42	13
7538	ZFP36	1.57305162009349e-17	18	11
1827	RCAN1	4.05835721095963e-17	19	11
5600	MAPK11	5.50219194993627e-18	58	16
1053	CEBPE	2.47432142832768e-19	14	11
5603	MAPK13	4.79793097370182e-19	50	16
3977	LIFR	4.28312478862841e-21	15	12
8351	HIST1H3D	4.28312478862841e-21	15	12
8353	HIST1H3E	4.28312478862841e-21	15	12
8354	HIST1H3I	4.28312478862841e-21	15	12
8356	HIST1H3J	4.28312478862841e-21	15	12
8358	HIST1H3B	4.28312478862841e-21	15	12
6640	SNTA1	3.01742767822007e-20	16	12
8350	HIST1H3A	3.01742767822007e-20	16	12
8355	HIST1H3G	3.01742767822007e-20	16	12
8357	HIST1H3H	3.01742767822007e-20	16	12
6195	RPS6KA1	3.07108741101387e-19	55	17
5465	PPARA	4.7634280032583e-19	18	12
3856	KRT8	1.03900334202442e-18	31	14
4638	MYLK	4.78867490675069e-18	42	15
2908	NR3C1	6.4714748266307e-18	34	14
156	ADRBK1	1.18007776353866e-17	35	14
4157	MC1R	9.29076891948589e-17	31	13
5321	PLA2G4A	1.09387186862819e-16	24	12
11075	STMN2	1.09387186862819e-16	24	12
6929	TCF3	1.65509601107158e-16	40	14
2113	ETS1	3.63720725675569e-16	33	13
1613	DAPK3	1.50297648452667e-15	21	11
8968	HIST1H3F	5.42091576849997e-17	29	13
1051	CEBPB	3.27972049399733e-15	47	14
8352	HIST1H3C	9.96760352659661e-15	40	13
6790	AURKA	1.0872307004489e-14	40	13
2353	FOS	1.1170362168959e-13	58	14
896	CCND3	5.11159793770535e-13	23	10
9212	AURKB	4.95635782578684e-12	37	11
5606	MAP2K3	5.92848084725259e-11	11	7
5608	MAP2K6	5.92848084725259e-11	11	7
5058	PAK1	1.33708914973141e-10	61	12
3932	LCK	1.73736160700199e-10	93	14
5605	MAP2K2	3.98830738892344e-11	16	8
1326	MAP3K8	3.88723917495311e-10	20	8
5347	PLK1	2.29245559387438e-10	77	13
3021	H3F3B	4.51611675911513e-10	8	6
5241	PGR	4.51611675911513e-10	8	6
5609	MAP2K7	4.51611675911513e-10	8	6
6196	RPS6KA2	7.90824172467437e-10	21	8
7249	TSC2	5.20911586327692e-10	20	8
9252	RPS6KA5	1.26829452443763e-10	45	11
4776	NFATC4	5.62289795093493e-10	8	6
29904	EEF2K	5.62289795093493e-10	8	6
6197	RPS6KA3	2.82535744709208e-12	42	12
1612	DAPK1	3.62326810959459e-11	15	8
6548	SLC9A1	4.54650701884918e-11	10	7
2931	GSK3A	6.12251547055205e-11	41	11
1385	CREB1	7.56321510827752e-12	68	14
5663	PSEN1	9.67485805449035e-11	32	10
3725	JUN	3.32641273542681e-10	59	12
2114	ETS2	9.408106324551e-11	16	8
1022	CDK7	3.31452251373254e-10	72	13
273	AMPH	1.02915212740181e-10	16	8
1025	CDK9	1.47304925507621e-10	67	13
10485	C1orf61	5.67958475365596e-13	7	7
10763	NES	5.67958475365596e-13	7	7
91768	CABLES1	4.83551509757799e-12	8	7
5867	RAB4A	1.34444753618788e-11	13	8
51343	FZR1	2.31295688538974e-11	9	7
672	BRCA1	2.83408743893445e-11	114	17
5925	RB1	8.93600783595354e-11	30	10
5499	PPP1CA	7.08441442140771e-11	88	15
2903	GRIN2A	2.38706451580102e-10	11	7
5501	PPP1CC	3.06445481974539e-10	33	10
5566	PRKACA	8.78416175067098e-11	255	24
84152	PPP1R1B	7.39703015417093e-12	12	8
5567	PRKACB	7.53381696093384e-11	151	19
5568	PRKACG	7.53381696093384e-11	151	19
2764	GMFB	3.33061985406426e-15	10	9
673	BRAF	4.80206395455048e-14	16	10
5127	CDK16	1.20668867179283e-13	17	10
6446	SGK1	1.37024417459003e-12	27	11
5894	RAF1	7.24245632924462e-12	49	13
6886	TAL1	6.01850442723933e-11	14	8
5500	PPP1CB	2.86079652584976e-10	23	9
5577	PRKAR2B	2.98970203081752e-10	23	9
3784	KCNQ1	1.45678419193079e-10	10	7
5576	PRKAR2A	2.9173371893201e-10	16	8
1386	ATF2	3.77551794617394e-10	41	11
47	ACLY	4.87832474890978e-10	7	6
7431	VIM	7.68929062757464e-10	126	17
6853	SYN1	4.71036275648311e-11	19	9
5170	PDPK1	9.34208882366725e-10	67	13
4000	LMNA	1.0171353203329e-09	25	9
6241	RRM2	1.21630416313247e-09	12	7
6714	SRC	1.55856330365803e-09	264	24
1759	DNM1	2.17761444123311e-10	29	10
154	ADRB2	1.3983205499243e-09	18	8
10142	AKAP9	1.8789994100867e-09	26	9
2316	FLNA	2.04362033129268e-09	35	10
11200	CHEK2	2.04362033129268e-09	35	10
4088	SMAD3	5.37844601644162e-10	102	16
5934	RBL2	2.76979520666699e-09	8	6
9133	CCNB2	2.76979520666699e-09	8	6
25	ABL1	3.39905427133462e-09	222	22
4792	NFKBIA	1.42957828762261e-10	27	10
4790	NFKB1	1.49403971133873e-10	27	10
842	CASP9	3.12565233973733e-10	15	8
4654	MYOD1	7.77055719995986e-10	23	9
472	ATM	2.03357681565474e-09	79	14
1263	PLK3	4.30126760584999e-09	13	7
7161	TP73	4.30126760584999e-09	13	7
5578	PRKCA	2.77604226098146e-09	212	22
6722	SRF	6.78102628883382e-10	30	10
7430	EZR	9.8033754483703e-10	23	9
4001	LMNB1	2.64470625169217e-09	18	8
6794	STK11	5.59310764277063e-09	27	9
84687	PPP1R9B	6.69078735381767e-09	5	5
5581	PRKCE	7.49233963816326e-09	113	16
5587	PRKD1	9.2811804267749e-10	39	11
3315	HSPB1	5.79579430148632e-11	31	11
94274	PPP1R14A	9.9113978123413e-10	16	8
5590	PRKCZ	1.23007682602258e-09	128	18
1080	CFTR	1.23985083381558e-10	25	10
7529	YWHAB	3.11855402371424e-10	20	9
5580	PRKCD	8.48676611713834e-11	108	18
3105	HLA-A	2.84349712676128e-10	14	8
3150	HMGN1	2.84349712676128e-10	14	8
5579	PRKCB	2.23457026620611e-11	112	19
821	CANX	2.77757561703024e-11	16	9
653361	NCF1	2.77757561703024e-11	16	9
5588	PRKCQ	1.19520742620006e-11	107	19
2893	GRIA4	6.49668185645535e-13	12	9
5734	PTGER4	6.49668185645535e-13	12	9
2243	FGA	1.36641118551354e-12	17	10
5583	PRKCH	1.5588370002072e-13	95	20
119	ADD2	2.37818702911001e-14	13	10
5243	ABCB1	2.37818702911001e-14	13	10
5582	PRKCG	8.37339630905221e-15	103	22
2560	GABRB1	8.37904416632001e-16	14	11
334	APLP2	1.02450368133335e-15	18	12
5584	PRKCI	1.49635160934346e-16	106	24
7504	XK	2.80687791793116e-18	11	11
9338	TCEAL1	2.80687791793116e-18	11	11
9421	HAND1	3.24402756602633e-17	15	12
2705	GJB1	3.74267505821626e-17	12	11
2781	GNAZ	1.3172347921251e-16	10	10
4985	OPRD1	1.3172347921251e-16	10	10
5788	PTPRC	8.04538708523267e-16	39	16
118	ADD1	9.82967797830365e-16	22	13
8682	PEA15	9.82967797830365e-16	22	13
302	ANXA2	1.71256431453581e-15	11	10
624	BDKRB2	1.71256431453581e-15	11	10
960	CD44	1.71256431453581e-15	11	10
2890	GRIA1	5.77019457608146e-15	15	11
120	ADD3	7.04848898291495e-15	9	9
150	ADRA2A	7.04848898291495e-15	9	9
1267	CNP	7.04848898291495e-15	9	9
2561	GABRB2	7.04848898291495e-15	9	9
2769	GNA15	7.04848898291495e-15	9	9
2911	GRM1	7.04848898291495e-15	9	9
5341	PLEK	7.04848898291495e-15	9	9
917	CD3G	7.04848898291495e-15	9	9
6383	SDC2	1.5604400787979e-14	12	10
7137	TNNI3	1.93949688108424e-14	20	12
10287	RGS19	1.93949688108424e-14	20	12
301	ANXA1	4.47688421316475e-14	32	14
7153	TOP2A	5.01351257064087e-14	71	19
4082	MARCKS	7.87993990489668e-14	13	10
433	ASGR2	1.08509167857934e-13	10	9
2566	GABRG2	1.08509167857934e-13	10	9
65108	MARCKSL1	1.08509167857934e-13	10	9
846	CASR	1.08509167857934e-13	10	9
26353	HSPB8	1.37894025195112e-13	22	12
1956	EGFR	2.93922085632639e-13	107	22
5782	PTPN12	4.73045517486126e-13	43	15
4233	MET	6.50184501703567e-14	26	13
2904	GRIN2B	3.05968962334795e-13	18	11
815	CAMK2A	6.91748942948454e-14	61	18
2673	GFPT1	1.75992407355054e-13	22	12
5066	PAM	5.43345379977996e-13	8	8
6876	TAGLN	5.43345379977996e-13	8	8
2902	GRIN1	8.69761433427851e-13	11	9
3554	IL1R1	8.69761433427851e-13	11	9
4225	MEP1B	8.69761433427851e-13	11	9
9267	CYTH1	8.69761433427851e-13	11	9
3280	HES1	1.73209870847496e-12	31	13
3875	KRT18	2.08702638350873e-12	38	14
6199	RPS6KB2	3.69138498209735e-14	12	10
4842	NOS1	3.49702434012229e-12	26	12
3643	INSR	4.3435020676557e-12	47	15
1387	CREBBP	1.07250452423659e-11	58	16
2670	GFAP	1.31312648543254e-11	50	15
817	CAMK2D	9.1153922710328e-12	41	14
4689	NCF4	1.52697564338126e-11	13	9
4900	NRGN	2.6546283926937e-11	7	7
688	KLF5	3.53403577505064e-11	10	8
818	CAMK2G	4.1675865364853e-11	24	11
7054	TH	3.24837994677696e-12	20	11
6944	VPS72	7.99278953759194e-12	40	14
816	CAMK2B	3.68423262678304e-11	44	14
2152	F3	5.07565374613773e-11	14	9
6667	SP1	1.3691217938835e-11	221	30
5970	RELA	7.39969161725097e-11	54	15
3559	IL2RA	7.07110415587304e-11	19	10
3159	HMGA1	5.67566338988854e-11	14	9
9266	CYTH2	1.4176555032079e-10	15	9
3811	KIR3DL1	1.66067995036152e-10	11	8
6624	FSCN1	1.66067995036152e-10	11	8
8202	NCOA3	2.20256964794594e-10	33	12
3551	IKBKB	1.8668736861435e-11	41	14
1601	DAB2	3.60893999302037e-10	16	9
7037	TFRC	3.60893999302037e-10	16	9
2887	GRB10	1.41499372511385e-09	13	8
4780	NFE2L2	1.56812019298992e-09	18	9
814	CAMK4	4.52633103525793e-09	10	7
4627	MYH9	5.3851656399505e-09	20	9
5111	PCNA	8.65036770043502e-09	61	14
3269	HRH1	9.07512577139579e-09	7	6
3897	L1CAM	9.07512577139579e-09	7	6
4582	MUC1	9.07512577139579e-09	7	6
4478	MSN	1.36908599503989e-08	11	7
10499	NCOA2	1.36908599503989e-08	11	7
9475	ROCK2	4.05780155430608e-09	14	8
7015	TERT	1.67629812012957e-08	16	8
1869	E2F1	1.89503504319352e-08	22	9
9846	GAB2	3.09753738073784e-08	23	9
1739	DLG1	3.60215749042159e-08	12	7
5744	PTHLH	4.69365845999922e-08	5	5
9700	ESPL1	4.69365845999922e-08	5	5
4846	NOS3	5.31209790452984e-08	24	9
2002	ELK1	1.96452183798519e-08	16	8
7124	TNF	1.03578237920227e-08	15	8
5451	POU2F1	4.14665179191892e-08	38	11
2011	MARK2	8.69698618482967e-08	13	7
545	ATR	1.04984054331227e-07	41	11
3706	ITPKA	1.15881533343175e-07	33	10
8648	NCOA1	1.41549416310966e-07	26	9
6738	TROVE2	1.28485703920481e-08	7	6
5778	PTPN7	1.47562771208598e-07	9	6
8626	TP63	1.47562771208598e-07	9	6
4149	MAX	2.26359011790638e-07	27	9
5914	RARA	3.3087592084352e-07	28	9
6236	CD5	3.38321779966825e-07	6	5
54700	RRAD	3.38321779966825e-07	6	5
921	RRN3	3.38321779966825e-07	6	5
3689	ITGB2	3.74765157803948e-07	36	10
5962	RDX	2.2854590603246e-08	11	7
1978	EIF4EBP1	4.00120480024115e-07	15	7
6720	SREBF1	4.00120480024115e-07	15	7
8660	IRS2	6.07899013876465e-08	8	6
9641	IKBKE	1.79618608715891e-07	9	6
8517	IKBKG	9.8835063115555e-08	18	8
3484	IGFBP1	4.49294288516783e-07	10	6
4215	MAP3K3	4.49294288516783e-07	10	6
10398	TTK	4.49294288516783e-07	10	6
7272	MYL9	4.49294288516783e-07	10	6
6093	ROCK1	4.9123980831572e-08	29	10
6662	SOX9	1.78443479174205e-08	7	6
103910	MYL12B	7.02314291999281e-08	8	6
10110	SGK2	5.01761975208819e-07	10	6
57447	NDRG2	7.42043037582005e-08	5	5
2810	SFN	7.32635555065087e-07	29	9
3184	HNRNPD	3.33790068008869e-07	20	8
1958	EGR1	8.08467263598595e-07	22	8
9368	SLC9A3R1	9.36506217349075e-07	16	7
4771	NF2	5.50667596938505e-07	10	6
10413	YAP1	5.64123036865711e-07	15	7
6464	SHC1	1.16087033699912e-06	47	11
3480	IGF1R	3.42691578016239e-08	11	7
5159	PDGFRB	3.73123772262241e-07	34	10
5793	PTPRG	9.27807391827917e-07	22	8
332	BIRC5	1.28419587999167e-06	11	6
3984	LIMK1	1.28419587999167e-06	11	6
5909	RAP1GAP	1.28419587999167e-06	11	6
5979	RET	1.28419587999167e-06	11	6
6789	STK4	1.28419587999167e-06	11	6
824	CAPN2	1.79623207643018e-06	7	5
1994	ELAVL1	1.79623207643018e-06	7	5
2697	GJA1	1.79623207643018e-06	7	5
3936	LCP1	1.79623207643018e-06	7	5
4296	MAP3K11	1.79623207643018e-06	7	5
122953	JDP2	1.79623207643018e-06	7	5
8850	KAT2B	5.32153216841008e-07	51	12
142	PARP1	4.16774145334545e-07	59	13
2017	CAV1	2.16625973007195e-06	17	7
2549	CTTN	2.16625973007195e-06	17	7
3832	GAB1	2.16625973007195e-06	17	7
6776	KIF11	2.16625973007195e-06	17	7
857	STAT5A	2.16625973007195e-06	17	7
5795	PTPRJ	2.23863454414921e-07	31	10
3815	KIT	2.14193608213705e-07	18	8
5800	PTPRO	3.26399794953808e-07	25	9
1000	CDH2	1.76399285392399e-08	14	8
5787	PTPRB	5.84615466887195e-08	34	11
4914	NTRK1	3.24879656582256e-09	12	8
7010	TEK	3.18071501555807e-08	7	6
867	CBL	1.00088506995539e-07	43	12
5796	PTPRK	3.65189293585684e-08	20	9
1445	CSK	6.03275415531273e-09	17	9
5829	PXN	3.29637792800231e-08	32	11
4905	NSF	8.16709848075061e-08	16	8
4486	MST1R	1.24338780237572e-07	5	5
7454	WAS	1.41950870540584e-07	36	11
4067	LYN	9.92428572181034e-08	68	15
2057	EPOR	9.83351066177647e-09	13	8
3717	JAK2	1.06141656132208e-07	28	10
6774	STAT3	1.29823610930376e-07	43	12
2534	FYN	5.76395089409765e-08	222	29
2064	ERBB2	7.7148559151733e-08	85	17
26191	PTPN22	6.86907799061936e-08	11	7
6850	SYK	8.00291097201692e-08	41	12
2268	FGR	7.89703427883746e-09	17	9
5803	PTPRZ1	1.41583382570205e-07	5	5
56848	SPHK2	1.41583382570205e-07	5	5
5777	PTPN6	1.91588415080924e-07	17	8
5295	PIK3R1	2.33826235284932e-07	122	20
2690	GHR	5.37438511268991e-08	20	9
10657	KHDRBS1	9.21965524175954e-08	27	10
5781	PTPN11	9.41145266098864e-08	21	9
7535	ZAP70	3.88050511479551e-07	13	7
1997	ELF1	5.03244941309218e-07	9	6
4659	PPP1R12A	5.03244941309218e-07	9	6
6004	RGS16	5.03244941309218e-07	9	6
7525	YES1	6.86866493426568e-08	26	10
5747	PTK2	6.10448308700029e-08	39	12
9021	SOCS3	3.34371295357093e-08	10	7
5921	RASA1	7.3214616799362e-08	26	10
493	ATP2B4	1.91380731233044e-07	8	6
640	BLK	2.1387422811063e-07	12	7
27040	LAT	4.30886579379481e-07	18	8
3937	LCP2	4.68530590777888e-07	24	9
27	ABL2	7.40076900600438e-07	19	8
1460	CSNK2B	7.70062433990098e-07	94	17
1439	CSF2RB	1.03881012149369e-06	6	5
5063	PAK3	1.03881012149369e-06	6	5
5335	PLCG1	1.20216798920667e-06	129	20
11184	MAP4K1	3.96125523529963e-08	10	7
7006	TEC	8.07175681520537e-08	20	9
7409	VAV1	8.07175681520537e-08	20	9
6654	SOS1	2.28736620688991e-07	22	9
9564	BCAR1	3.67469846384249e-07	23	9
5156	PDGFRA	5.41631091117346e-07	13	7
326	AIRE	6.72008202043581e-07	9	6
9103	FCGR2C	6.72008202043581e-07	9	6
2885	GRB2	8.73106585895141e-08	310	37
9793	CKAP5	4.53638226435445e-08	10	7
50807	ASAP1	9.55069092526435e-08	20	9
25920	COBRA1	1.23390309049452e-07	11	7
1748	CAST	2.51672424408443e-07	8	6
56955	DLX4	2.51672424408443e-07	8	6
58512	MEPE	2.51672424408443e-07	8	6
64714	DLGAP3	2.51672424408443e-07	8	6
831	PDIA2	2.51672424408443e-07	8	6
9229	SHANK3	2.51672424408443e-07	8	6
9744	DLGAP1	2.51672424408443e-07	8	6
83747	ACAP1	2.51672424408443e-07	8	6
85358	C20orf57	2.51672424408443e-07	8	6
1398	CRK	1.64592299463074e-11	124	27
4690	NCK1	4.93920710645779e-09	168	28
9784	SNX17	2.12884192315479e-10	9	8
2317	FLNB	2.27551426367143e-10	12	9
1795	DOCK3	5.4217199334301e-10	7	7
2151	F2RL2	5.4217199334301e-10	7	7
80831	APOL5	5.4217199334301e-10	7	7
6655	SOS2	7.62829765286307e-10	13	9
2213	FCGR2B	1.12681412578773e-09	10	8
10278	EFS	1.28119938447911e-09	22	11
2889	RAPGEF1	4.53652208402553e-09	8	7
10618	TGOLN2	4.53652208402553e-09	8	7
22974	TPX2	4.53652208402553e-09	8	7
9472	AKAP6	4.53652208402553e-09	8	7
3055	HCK	1.05658714961475e-08	51	15
2065	ERBB3	2.62648702717675e-09	40	14
2004	ELK3	1.33387487717351e-08	6	6
2137	EXTL3	1.33387487717351e-08	6	6
3400	ID4	1.33387487717351e-08	6	6
22941	SHANK2	1.33387487717351e-08	6	6
29998	GLTSCR1	1.33387487717351e-08	6	6
445815	PALM2-AKAP2	1.33387487717351e-08	6	6
9749	PHACTR2	1.33387487717351e-08	6	6
2175	FANCA	1.58199437007789e-08	26	11
1605	DAG1	2.38342860918103e-08	9	7
9228	DLGAP2	2.38342860918103e-08	9	7
2318	FLNC	5.83486693044885e-08	18	9
6237	RRAS	7.9247728047338e-08	10	7
9826	ASAP2	7.9247728047338e-08	10	7
79890	ARHGEF11	7.9247728047338e-08	10	7
8853	RIN3	7.9247728047338e-08	10	7
22839	DLGAP4	9.08854634120399e-08	14	8
2550	GABBR1	1.08396971508927e-07	7	6
4007	PRICKLE3	1.08396971508927e-07	7	6
5287	PIK3C2B	1.08396971508927e-07	7	6
7112	TMPO	1.08396971508927e-07	7	6
3224	HOXC8	3.36186410139096e-07	5	5
10019	SH2B3	3.36186410139096e-07	5	5
11176	BAZ2A	3.36186410139096e-07	5	5
23114	NFASC	3.36186410139096e-07	5	5
23230	VPS13A	3.36186410139096e-07	5	5
29886	SNX8	3.36186410139096e-07	5	5
