Gene ID	Gene Name	Design Element	'Parkinson's disease' vs 'normal'.foldChange	'Parkinson's disease' vs 'normal'.pValue	'Parkinson's disease' vs 'normal'.tStat
ENSG00000000003	TSPAN6	209108_at	0.2	0.62309046770703	0.785727039788709
ENSG00000000419	DPM1	202673_at	-1.0	0.0337692577327593	-3.59514521576253
ENSG00000000938	FGR	208438_s_at	0.2	0.152921874158116	2.25103525850971
ENSG00000000971	CFH	213800_at	0.2	0.69777092251448	0.634957191298562
ENSG00000001084	GCLC	202922_at	-0.1	0.575944803470255	-0.884317907597385
ENSG00000001167	NFYA	204108_at	0.1	0.52209660560055	1.00477465795894
ENSG00000001461	NIPAL3	214579_at	-0.1	0.628022723591162	-0.77449008280668
ENSG00000001497	LAS1L	208117_s_at	0.3	0.18872457446271	2.05786702305246
ENSG00000001561	ENPP4	204160_s_at	-0.5	0.0796230050914509	-2.87761436617278
ENSG00000001617	SEMA3F	35666_at	0.1	0.833919414069396	0.36539647226534
ENSG00000002016	RAD52	205647_at	0.3	0.152921874158116	2.25072777392281
ENSG00000002586	CD99	201029_s_at	0.3	0.225919012457099	1.8944413504853
ENSG00000002746	HECW1	215584_at	0.1	0.476233307883192	1.11715487847874
ENSG00000002933	TMEM176A	218345_at	0.4	0.0320122886567485	3.717851756644
ENSG00000003056	M6PR	200901_s_at	-0.1	0.54869558592398	-0.941283354258375
ENSG00000003137	CYP26B1	219825_at	-0.5	0.251258256529895	-1.79396934956771
ENSG00000003147	ICA1	210547_x_at	-0.3	0.119330709354409	-2.47867288525186
ENSG00000003400	CASP10	210708_x_at	0.1	0.400196807135372	1.30530632039706
ENSG00000003402	CFLAR	211316_x_at	0.5	0.0141770419008606	4.45603783504767
ENSG00000003756	RBM5	201395_at	0.3	0.441603821513822	1.19786857701879
ENSG00000004399	PLXND1	38671_at	0.4	0.100056267417424	2.64778006222991
ENSG00000004455	AK2	212174_at	0.2	0.380896957864767	1.35556111950458
ENSG00000004478	FKBP4	200895_s_at	0.2	0.457521743134686	1.16198690534509
ENSG00000004534	RBM6	201967_at	0.6	0.0206022587126657	4.19354616377639
ENSG00000004776	HSPB6	214767_s_at	0.1	0.604035378044268	0.825048007310258
ENSG00000004779	NDUFAB1	202077_at	-0.9	0.0321291624896647	-3.70872686352552
ENSG00000004864	SLC25A13	203775_at	0.1	0.470524258470188	1.13013746155413
ENSG00000004866	ST7	207871_s_at	0.2	0.526449558519344	0.993948147551852
ENSG00000004897	CDC27	217878_s_at	-0.3	0.255098289095606	-1.77841127719242
ENSG00000004961	HCCS	203746_s_at	-0.1	0.665074071146523	-0.6992471640269
ENSG00000004975	DVL2	57532_at	0.4	0.0837362907283962	2.82319100276784
ENSG00000005007	UPF1	211168_s_at	0.4	0.264185334848412	1.74734653019346
ENSG00000005020	SKAP2	204362_at	-0.2	0.627540879511716	-0.775718933698266
ENSG00000005022	SLC25A5	200657_at	-0.6	0.116059943862782	-2.50160496402375
ENSG00000005108	THSD7A	214920_at	-0.4	0.387976393026655	-1.33612535532967
ENSG00000005175	RPAP3	218842_at	-0.3	0.316317345651454	-1.55454681913638
ENSG00000005194	CIAPIN1	208968_s_at	-0.2	0.505123896616526	-1.04656914834589
ENSG00000005238	FAM214B	211433_x_at	0.3	0.0539187818696243	3.22323886823406
ENSG00000005249	PRKAR2B	203680_at	-0.9	0.0826980920239928	-2.83477319808819
ENSG00000005339	CREBBP	202160_at	0.2	0.621743379122083	0.788457293990423
ENSG00000005379	TSPOAP1	205839_s_at	0.2	0.318725588414631	1.54494015679926
ENSG00000005700	IBTK	210970_s_at	-0.2	0.430226485838561	-1.22472587098235
ENSG00000005801	ZNF195	204234_s_at	-0.1	0.588839229015564	-0.856386207276294
ENSG00000005810	MYCBP2	201960_s_at	-0.7	0.0389777158249349	-3.48362573845343
ENSG00000005882	PDK2	213724_s_at	-0.1	0.620514124951107	-0.791776997102315
ENSG00000005893	LAMP2	203042_at	0.4	0.389102643393951	1.33355177638042
ENSG00000005961	ITGA2B	206493_at	0.4	0.0558591776823257	3.19260161929324
ENSG00000006007	GDE1	202593_s_at	-0.4	0.271740145522128	-1.71010439582879
ENSG00000006015	REX1BD	51200_at	-0.2	0.493513955312682	-1.07469638079076
ENSG00000006016	CRLF1	206315_at	0.1	0.777638257678401	0.472964569073214
ENSG00000006062	MAP3K14	205192_at	0.2	0.182598014663414	2.08929659188067
ENSG00000006116	CACNG3	206384_at	-0.5	0.318983462489334	-1.5434898463438
ENSG00000006118	TMEM132A	218834_s_at	0.1	0.479456589372522	1.10696625575025
ENSG00000006125	AP2B1	200612_s_at	-0.6	0.370464358116446	-1.38529221112935
ENSG00000006128	TAC1	206552_s_at	-1.7	0.0214273072688135	-4.1208419966457
ENSG00000006210	CX3CL1	823_at	-0.2	0.383573823915261	-1.34954197620282
ENSG00000006327	TNFRSF12A	218368_s_at	0.3	0.268392763398467	1.72346358397645
